"","title","movieInfo","point","review"
"76","에이 아이","https://movie.naver.com/movie/point/af/list.nhn?&page=8?st=mcode&sword=31268&target=after","10","제목을 처음 봤을땐, ai가 발전해서 과학적으로 인간의 삶에 얼마나 뿌리내렸을까. 하고 기대하며 봤는데, 전혀 상상하지 못한 스토리였다. 밑에 분이 남겨준 감상평 그대로였다. ""어른들을 위한 동화"".. 영화를 다 보고 난 뒤 지금 이 마음이 뭔지 모르겠다. 로봇이 인간이 되기 위해서 저렇게까지 할수있구나.. 아니, 그럴거라고 상상할수있겠구나. 감동적이면서도 되게 신선했다. 이런 영화는 정말 처음이다... 하고 보니 감독이 스티븐스필버그.. 크으으으...b "
"77","미션 파서블","https://movie.naver.com/movie/point/af/list.nhn?&page=8?st=mcode&sword=189124&target=after","8","기대를 많이 하지 않아서 그런지 코믹하고 볼만하다 "
"78","혐오스런 마츠코의 일생","https://movie.naver.com/movie/point/af/list.nhn?&page=8?st=mcode&sword=58333&target=after","9","나카타니 미키 （???）♡ "
"79","나비 효과","https://movie.naver.com/movie/point/af/list.nhn?&page=8?st=mcode&sword=38091&target=after","10","지금의 내가 미래의 나를 바꿀수 있다는 것을영화 보고 30분후 격한 감동으로 오는 영화 "
"80","미스터트롯: 더 무비","https://movie.naver.com/movie/point/af/list.nhn?&page=8?st=mcode&sword=197304&target=after","10","미스터트롯 멤버들 다 더욱 더 성장하고 노래로 보답하고 노래로 감동시켜주고 또 지금도 사랑받고있지만 더욱 더 사랑받아서 사랑을 보답해줄수있고 멋지고 착하고 좋은사람이 되길 바래요!! 미스터트롯 멤버들 다 화이팅!!! 사랑해요!!!!?????? 미스터트롯:더무비 봐서 좋았어요~~~ 그동안 공연했던 비하인드까지 모두 다 보여주니까 엄청 좋았어요?????? "
"81","어톤먼트","https://movie.naver.com/movie/point/af/list.nhn?&page=9?st=mcode&sword=68035&target=after","8","넷플 숨은 명작 긴장감 + 스토리 반전 꼭 보세요 "
"82","님아, 그 강을 건너지 마오","https://movie.naver.com/movie/point/af/list.nhn?&page=9?st=mcode&sword=130013&target=after","10","방금 처음으로 봤는데 너무 먹먹하고 슬프면서도 여운이 많이 남네요.정말 사랑하는 사람을 만나서 순전하게 함께 사랑하며 살고 싶다는 생각도 들고,산다는 것은 뭘까 싶은 철학적인 되물음도 주는 것 같아요.할아버지 할머니의 짧은 시간을 엿보면서 인생 마지막 날의 롤모델로 느끼게도 해주셨습니다.인생에 정말 중요한 것을 놓칠 때 한 번씩 보고 싶은 다큐였습니다.두 분의 삶을 나눠주셔서 감사합니다. "
"83","다크 나이트 라이즈","https://movie.naver.com/movie/point/af/list.nhn?&page=9?st=mcode&sword=72054&target=after","7","아무리 그래도 여자아이만 그걸 한다고? "
"84","악인전","https://movie.naver.com/movie/point/af/list.nhn?&page=9?st=mcode&sword=177967&target=after","10","나쁜 놈보다 더 나쁜 놈 소름끼친다. 나에게 두번씩이나 몰입하며 본 영화는 흔치않다. "
"85","너를 만난 여름","https://movie.naver.com/movie/point/af/list.nhn?&page=9?st=mcode&sword=187787&target=after","10","내 기준 풋풋하고 예쁜 그 때만의 감성을 담은 로맨스는 이게 짱. 그 어떤 영화도 뛰어넘을 수 없음. 오바하거나 억지스러운 연출도 없고, 그냥 저 때의 예쁘고 풋풋하고 설레는 감성들을 너무 예쁘게 잘 담아놓은듯.. 영상미, 배우들, ost, 엔딩크레딧까지 그냥 다 예쁨.... "
"86","이름없는 새","https://movie.naver.com/movie/point/af/list.nhn?&page=9?st=mcode&sword=163682&target=after","8","아오이 유우의 최고의 연기가 될 듯 "
"87","지푸라기라도 잡고 싶은 짐승들","https://movie.naver.com/movie/point/af/list.nhn?&page=9?st=mcode&sword=179181&target=after","10","기대없이 봤는데 나름 재미있네요ㅎ잔인한장면도 있긴해요 "
"88","풀 메탈 자켓","https://movie.naver.com/movie/point/af/list.nhn?&page=9?st=mcode&sword=11671&target=after","9","해병대 훈련소 교관의 윽박 연기는 최고였다. 군대와 전쟁의 몰인간성 참상을 그린 수작. "
"89","노매드랜드","https://movie.naver.com/movie/point/af/list.nhn?&page=9?st=mcode&sword=196215&target=after","9","나도 언젠가는 가야할 길을 먼저 걸어가는 이들...그들의 지도가 궁금하다. "
"90","비와 당신의 이야기","https://movie.naver.com/movie/point/af/list.nhn?&page=9?st=mcode&sword=192620&target=after","8","저는 강소라의 사랑이 와닿았네요~초반이 살짝 지루했지만 갈수록 몰입이 좀 되더니 끝으로 갈수록 목이 좀 따끔했습니다.! "
"91","그 시절, 우리가 좋아했던 소녀","https://movie.naver.com/movie/point/af/list.nhn?&page=10?st=mcode&sword=88669&target=after","10","진짜 OOO 살면서 영화 많이 봤는데 이런 영화는 처음 입니다 진짜 그저께 봤는데 지금도 뮤비 계속 보면서 감정이입 중입니다 진짜 안보신분 있으면 꼭 보세요 "
"92","스프링 송","https://movie.naver.com/movie/point/af/list.nhn?&page=10?st=mcode&sword=198308&target=after","5","봄에 내리는 우박같은 얄궂음 "
"93","퍼시픽 림","https://movie.naver.com/movie/point/af/list.nhn?&page=10?st=mcode&sword=86867&target=after","10","그어떤 영화에서도 보지못할 묵직함 여태것 봣던 cg 액션중 레전드입니다 "
"94","툴리","https://movie.naver.com/movie/point/af/list.nhn?&page=10?st=mcode&sword=154653&target=after","9","집에 아기 볼 사람이 없었다구요? 위층에 계셨다면서요 "
"95","더 파더","https://movie.naver.com/movie/point/af/list.nhn?&page=10?st=mcode&sword=191920&target=after","9","와... 미친 연기력.... 안소니 옹님 오래오래 건강하세요! "
"96","러브 앤 몬스터스","https://movie.naver.com/movie/point/af/list.nhn?&page=10?st=mcode&sword=198767&target=after","2","0년대식 스토리에 뻔한 결말. 남자가 여자 못 잊고 모험 떠나는 그 특유의 순정남 스토리가 정말 지겹다. 억지 스토리와 억지 교훈 주기.. 한국에서 만들법한 삼류 드라마식 스토리를 외국에서 보니 놀랍다 "
"97","패신저스","https://movie.naver.com/movie/point/af/list.nhn?&page=10?st=mcode&sword=116233&target=after","10","영상미가 너무 좋았고 스토리도 너무 좋았어요 과연 저였더라면 어떠한 판단을 했을까하며재밌게 봤던것 같습니다 ㅎㅎ "
"98","신세계","https://movie.naver.com/movie/point/af/list.nhn?&page=10?st=mcode&sword=91031&target=after","10","쌍무~오쓰뜨랄로 삐떼꾸스~어디 파병가요~~ "
